"";"diputadoId";"nombre";"distrito";"bloqueId";"color";"bloque";"bloqueAbreviado";"periodo";"cluster"
"6572";657;"RAPETTI, Ricardo Francisco";"Buenos Aires";74;"#1f77b4";"Justicialista";"Justicialista";2005;1
"6592";659;"RATTIN, Antonio Ubaldo";"Buenos Aires";142;"#ffffff";"Unidad Federalista";"Unidad Federalista";2005;1
"6611";661;"RECALDE, Héctor Pedro";"Buenos Aires";56;"#1f77b4";"Frente para la Victoria - PJ";"FPV";2005;3
"6672";667;"RICHTER, Ana";"Córdoba";56;"#1f77b4";"Frente para la Victoria - PJ";"FPV";2005;3
"6682";668;"RICO, María del Carmen Cecilia";"Buenos Aires";60;"#ffffff";"Frente Popular Bonaerense";"Frente Popular Bonaerense";2005;2
"6722";672;"RIOS, María Fabiana";"Tierra del Fuego";1;"#2ca02c";"A.R.I";"ARI";2005;1
"6752";675;"RITONDO, Cristian";"Cdad.Aut.Bs.As.";113;"#ffffff";"Peronista Federal";"Peronista Federal";2005;2
"6782";678;"RIVAS, Jorge";"Buenos Aires";104;"#fa58f4";"Partido Socialista";"PS";2005;1
"6842";684;"RODRIGUEZ SAA, Adolfo";"San Luis";51;"#ffffff";"Frente del Movimiento Popular";"Frente del Movimiento Popular";2005;1
"6872";687;"RODRIGUEZ, Marcela Virginia";"Buenos Aires";1;"#2ca02c";"A.R.I";"ARI";2005;1
"6882";688;"RODRIGUEZ, Oscar Ernesto R.";"Buenos Aires";113;"#ffffff";"Peronista Federal";"Peronista Federal";2005;2
"6902";690;"ROGGERO, Humberto Jesus";"Córdoba";74;"#1f77b4";"Justicialista";"Justicialista";2005;1
"691";691;"ROJKES de ALPEROVICH, Beatriz Liliana";"Tucumán";56;"#1f77b4";"Frente para la Victoria - PJ";"FPV";2005;3
"6962";696;"ROMERO, Héctor Ramón";"Chaco";147;"#d62728";"Unión Cívica Radical";"UCR";2005;3
"6971";697;"ROMERO, José Antonio";"Buenos Aires";74;"#1f77b4";"Justicialista";"Justicialista";2005;3
"6982";698;"ROMERO, Rosario";"Entre Ríos";56;"#1f77b4";"Frente para la Victoria - PJ";"FPV";2005;3
"6992";699;"ROQUEL, Rodolfo";"Formosa";56;"#1f77b4";"Frente para la Victoria - PJ";"FPV";2005;1
"700";700;"ROSAS, Angel";"Chaco";147;"#d62728";"Unión Cívica Radical";"UCR";2005;3
"7012";701;"ROSELLI, José Alberto";"Cdad.Aut.Bs.As.";21;"#ffffff";"Convergencia";"Convergencia";2005;1
"7021";702;"ROSSI, Agustín Oscar";"Santa Fe";56;"#1f77b4";"Frente para la Victoria - PJ";"FPV";2005;3
"705";705;"ROSSO, Graciela Zulema";"Buenos Aires";56;"#1f77b4";"Frente para la Victoria - PJ";"FPV";2005;3
"7062";706;"ROY, Irma";"Cdad.Aut.Bs.As.";74;"#1f77b4";"Justicialista";"Justicialista";2005;3
"707";707;"ROZAS, Angel";"Chaco";147;"#d62728";"Unión Cívica Radical";"UCR";2005;4
"7082";708;"RUBINI, Mirta Elsa";"Buenos Aires";74;"#1f77b4";"Justicialista";"Justicialista";2005;3
"7102";710;"RUCKAUF, Carlos Federico";"Buenos Aires";113;"#ffffff";"Peronista Federal";"Peronista Federal";2005;2
"7172";717;"SALIM, Fernando Omar";"Santiago del Estero";56;"#1f77b4";"Frente para la Victoria - PJ";"FPV";2005;1
"718";718;"SALIM, Juan Arturo";"Tucumán";56;"#1f77b4";"Frente para la Victoria - PJ";"FPV";2005;3
"719";719;"SALUM, Osvaldo Rubén";"Salta";56;"#1f77b4";"Frente para la Victoria - PJ";"FPV";2005;3
"7221";722;"SANTANDER, Mario";"La Rioja";113;"#ffffff";"Peronista Federal";"Peronista Federal";2005;4
"7291";729;"SARGHINI, Jorge Emilio";"Buenos Aires";113;"#ffffff";"Peronista Federal";"Peronista Federal";2005;4
"7302";730;"SARTORI, Diego Horacio";"Misiones";56;"#1f77b4";"Frente para la Victoria - PJ";"FPV";2005;1
"735";735;"SCHIAVONI, Esther Aida";"Cdad.Aut.Bs.As.";118;"#e7ba52";"Propuesta Republicana";"PRO";2005;2
"7412";741;"SELLARES, Francisco Nicolás";"Santa Fe";74;"#1f77b4";"Justicialista";"Justicialista";2005;1
"743";743;"SESMA, Laura Judith";"Córdoba";104;"#fa58f4";"Partido Socialista";"PS";2005;4
"7452";745;"SLUGA, Juan Carlos";"Buenos Aires";56;"#1f77b4";"Frente para la Victoria - PJ";"FPV";2005;3
"7462";746;"SNOPEK, Carlos Daniel";"Jujuy";56;"#1f77b4";"Frente para la Victoria - PJ";"FPV";2005;3
"751";751;"SOLANAS, Raúl Patricio";"Entre Ríos";56;"#1f77b4";"Frente para la Victoria - PJ";"FPV";2005;3
"7532";753;"SOSA, Carlos Alberto";"Salta";127;"#ffffff";"Renovador de Salta";"Renovador de Salta";2005;2
"754";754;"SOTO, Gladys Beatriz";"Chaco";56;"#1f77b4";"Frente para la Victoria - PJ";"FPV";2005;3
